molecule	gene	start	end	strand	orientation
NC_002967.9_2504	Length	1	934	forward	1
NC_002978.6_420	Length	1	336	forward	1
NC_002978.6_465	Length	1	330	forward	1
NC_003276.1_238	Length	1	607	forward	1
NC_003295.1_1827	Length	1	292	forward	1
NC_003450.3_2063	Length	1	193	forward	1
NC_003901.1_47	Length	1	361	forward	1
NC_004342.2_1808	Length	1	247	forward	1
NC_004917.1_1139	Length	1	481	forward	1
NC_004917.1_124	Length	1	287	forward	1
NC_006958.1_2017	Length	1	193	forward	1
NC_007410.1_2	Length	1	607	forward	1
NC_007798.1_13	Length	1	202	forward	1
NC_008390.1_1853	Length	1	237	forward	1
NC_008781.1_2009	Length	1	224	forward	1
NC_008781.1_2411	Length	1	256	forward	1
NC_008781.1_3086	Length	1	223	forward	1
NC_009488.1_1601	Length	1	391	forward	1
NC_009488.1_213	Length	1	292	forward	1
NC_009488.1_65	Length	1	424	forward	1
NC_009488.1_887	Length	1	394	forward	1
NC_009727.1_1821	Length	1	373	forward	1
NC_009883.1_1200	Length	1	376	forward	1
NC_010170.1_2578	Length	1	285	forward	1
NC_010528.1_1434	Length	1	249	forward	1
NC_010546.1_2370	Length	1	342	forward	1
NC_010551.1_1821	Length	1	237	forward	1
NC_010623.1_1123	Length	1	176	forward	1
NC_010793.1_1436	Length	1	243	forward	1
NC_010793.1_1672	Length	1	167	forward	1
NC_010793.1_254	Length	1	390	forward	1
NC_010793.1_49	Length	1	345	forward	1
NC_010793.1_836	Length	1	491	forward	1
NC_010830.1_214	Length	1	405	forward	1
NC_010830.1_218	Length	1	702	forward	1
NC_010981.1_1015	Length	1	297	forward	1
NC_010981.1_1100	Length	1	288	forward	1
NC_010981.1_1274	Length	1	386	forward	1
NC_010981.1_1329	Length	1	173	forward	1
NC_010981.1_505	Length	1	304	forward	1
NC_011071.1_3971	Length	1	1113	forward	1
NC_012225.1_105	Length	1	502	forward	1
NC_012225.1_114	Length	1	383	forward	1
NC_012225.1_1969	Length	1	335	forward	1
NC_012225.1_298	Length	1	542	forward	1
NC_012225.1_836	Length	1	556	forward	1
NC_012416.1_631	Length	1	927	forward	1
NC_012416.1_646	Length	1	618	forward	1
NC_012416.1_648	Length	1	360	forward	1
NC_012416.1_91	Length	1	1095	forward	1
NC_012483.1_2986	Length	1	218	forward	1
NC_012489.1_124	Length	1	711	forward	1
NC_012914.1_3335	Length	1	434	forward	1
NC_013009.1_13	Length	1	202	forward	1
NC_013192.1_755	Length	1	251	forward	1
NC_013410.1_132	Length	1	771	forward	1
NC_013530.1_2821	Length	1	321	forward	1
NC_013854.1_572	Length	1	790	forward	1
NC_013949.1_456	Length	1	278	forward	1
NC_014019.1_3723	Length	1	166	forward	1
NC_014118.1_2478	Length	1	221	forward	1
NC_014150.1_1344	Length	1	405	forward	1
NC_014150.1_2684	Length	1	427	forward	1
NC_014168.1_2846	Length	1	171	forward	1
NC_014230.1_1371	Length	1	179	forward	1
NC_014330.1_1196	Length	1	274	forward	1
NC_014330.1_162	Length	1	231	forward	1
NC_014330.1_2166	Length	1	427	forward	1
NC_015167.1_3000	Length	1	158	forward	1
NC_015174.1_789	Length	1	196	forward	1
NC_015184.1_261	Length	1	344	forward	1
NC_015185.1_985	Length	1	236	forward	1
NC_015387.1_2198	Length	1	360	forward	1
NC_015496.1_1880	Length	1	509	forward	1
NC_015714.1_780	Length	1	935	forward	1
NC_015732.1_1525	Length	1	297	forward	1
NC_015945.1_1077	Length	1	159	forward	1
NC_016617.1_2348	Length	1	802	forward	1
NC_016631.1_3170	Length	1	506	forward	1
NC_016745.1_1635	Length	1	238	forward	1
NC_016943.1_3651	Length	1	270	forward	1
NC_017042.1_606	Length	1	233	forward	1
NC_017243.1_1570	Length	1	646	forward	1
NC_017243.1_2205	Length	1	192	forward	1
NC_017243.1_2654	Length	1	341	forward	1
NC_017243.1_2655	Length	1	344	forward	1
NC_017243.1_423	Length	1	230	forward	1
NC_017448.1_514	Length	1	771	forward	1
NC_017551.1_1809	Length	1	247	forward	1
NC_018025.1_108	Length	1	475	forward	1
NC_018025.1_3331	Length	1	537	forward	1
NC_018025.1_4586	Length	1	197	forward	1
NC_018025.1_5034	Length	1	272	forward	1
NC_018221.1_313	Length	1	268	forward	1
NC_018500.1_5077	Length	1	232	forward	1
NC_018604.1_254	Length	1	366	forward	1
NC_018605.1_84	Length	1	734	forward	1
NC_018607.1_1115	Length	1	427	forward	1
NC_018607.1_1430	Length	1	231	forward	1
NC_018607.1_2445	Length	1	366	forward	1
NC_018607.1_2588	Length	1	646	forward	1
NC_018708.1_2200	Length	1	225	forward	1
NC_019427.1_3706	Length	1	428	forward	1
NC_019676.1_3334	Length	1	155	forward	1
NC_019676.1_3366	Length	1	573	forward	1
NC_019682.1_947	Length	1	428	forward	1
NC_019689.1_3873	Length	1	485	forward	1
NC_019729.1_2748	Length	1	837	forward	1
NC_019892.1_1296	Length	1	482	forward	1
NC_019892.1_8083	Length	1	499	forward	1
NC_019908.1_1797	Length	1	649	forward	1
NC_019908.1_2267	Length	1	389	forward	1
NC_019908.1_733	Length	1	427	forward	1
NC_019940.1_1598	Length	1	235	forward	1
NC_019964.1_55	Length	1	166	forward	1
NC_020055.1_2474	Length	1	197	forward	1
NC_020126.1_5280	Length	1	206	forward	1
NC_020126.1_8659	Length	1	395	forward	1
NC_020238.1_4910	Length	1	197	forward	1
NC_020389.1_44	Length	1	361	forward	1
NC_020506.1_1767	Length	1	159	forward	1
NC_020519.1_2063	Length	1	193	forward	1
NC_021016.1_713	Length	1	254	forward	1
NC_021038.1_2522	Length	1	355	forward	1
NC_021038.1_2529	Length	1	350	forward	1
NC_021038.1_2537	Length	1	350	forward	1
NC_021084.1_1008	Length	1	555	forward	1
NC_021084.1_1014	Length	1	791	forward	1
NC_021084.1_1115	Length	1	320	forward	1
NC_021084.1_213	Length	1	867	forward	1
NC_021084.1_352	Length	1	182	forward	1
NC_021084.1_447	Length	1	486	forward	1
NC_021084.1_792	Length	1	298	forward	1
NC_021089.1_202	Length	1	270	forward	1
NC_021089.1_224	Length	1	841	forward	1
NC_021089.1_225	Length	1	487	forward	1
NC_021089.1_273	Length	1	501	forward	1
NC_021089.1_478	Length	1	533	forward	1
NC_021089.1_566	Length	1	283	forward	1
NC_021281.1_458	Length	1	323	forward	1
NC_021487.1_2508	Length	1	335	forward	1
NC_021577.1_2696	Length	1	211	forward	1
NC_022040.1_1822	Length	1	193	forward	1
NC_022247.1_2653	Length	1	226	forward	1
NC_022657.1_2561	Length	1	384	forward	1
NC_023003.1_153	Length	1	303	forward	1
NC_023003.1_655	Length	1	361	forward	1
NZ_AADV02000075.1_15	Length	1	423	forward	1
NZ_AAKL01000051.1_36	Length	1	262	forward	1
NZ_ACFP01000252.1_26	Length	1	455	forward	1
NZ_AERW01000059.1_2	Length	1	469	forward	1
NZ_AERW01000119.1_3	Length	1	304	forward	1
NZ_AERW01000295.1_1	Length	1	192	forward	1
NZ_AFJQ01000180.1_9	Length	1	358	forward	1
NZ_AFKA01000145.1_9	Length	1	358	forward	1
NZ_AFKJ01000130.1_9	Length	1	358	forward	1
NZ_AFKT01000077.1_9	Length	1	358	forward	1
NZ_AFKW01000087.1_5	Length	1	358	forward	1
NZ_AFKY01000128.1_27	Length	1	358	forward	1
NZ_AFKZ01000176.1_27	Length	1	358	forward	1
NZ_AFLI01000077.1_27	Length	1	358	forward	1
NZ_AFLP01000376.1_1	Length	1	385	forward	1
NZ_AFMJ01000050.1_2	Length	1	358	forward	1
NZ_AHPW01000083.1_19	Length	1	358	forward	1
NZ_AHQA01000051.1_10	Length	1	412	forward	1
NZ_AHQB01000109.1_28	Length	1	247	forward	1
NZ_AHQL01000254.1_11	Length	1	151	forward	1
NZ_AHQM01000147.1_7	Length	1	358	forward	1
NZ_AHQP01000163.1_10	Length	1	358	forward	1
NZ_AHQT01000214.1_11	Length	1	606	forward	1
NZ_AHQV01000112.1_27	Length	1	385	forward	1
NZ_AHQW01000066.1_4	Length	1	358	forward	1
NZ_AHQY01000026.1_6	Length	1	220	forward	1
NZ_AHRA01000022.1_86	Length	1	279	forward	1
NZ_AHRA01000163.1_43	Length	1	192	forward	1
NZ_AIDI02000035.1_141	Length	1	409	forward	1
NZ_ALVU02000001.1_1148	Length	1	485	forward	1
NZ_AP013028.1_1174	Length	1	219	forward	1
NZ_AP013028.1_282	Length	1	199	forward	1
NZ_AP013028.1_873	Length	1	207	forward	1
NZ_AP013028.1_887	Length	1	998	forward	1
NZ_AP014583.1_3018	Length	1	198	forward	1
NZ_AP017372.2_1448	Length	1	353	forward	1
NZ_AP018042.1_4207	Length	1	199	forward	1
NZ_AP018172.1_5765	Length	1	428	forward	1
NZ_AP018172.1_6826	Length	1	155	forward	1
NZ_AP018195.1_449	Length	1	166	forward	1
NZ_AP018207.1_5342	Length	1	235	forward	1
NZ_AP018207.1_6046	Length	1	155	forward	1
NZ_AP018216.1_5088	Length	1	176	forward	1
NZ_AP018217.1_363	Length	1	607	forward	1
NZ_AP018227.1_4314	Length	1	691	forward	1
NZ_AP018248.1_2736	Length	1	344	forward	1
NZ_AP018248.1_3286	Length	1	573	forward	1
NZ_AP018254.1_2052	Length	1	599	forward	1
NZ_AP018665.1_174	Length	1	191	forward	1
NZ_AP018676.1_664	Length	1	281	forward	1
NZ_AP019314.1_1903	Length	1	458	forward	1
NZ_AP019780.1_468	Length	1	361	forward	1
NZ_AP019823.1_1555	Length	1	254	forward	1
NZ_AP019846.1_784	Length	1	255	forward	1
NZ_AP019860.1_4612	Length	1	789	forward	1
NZ_AP019860.1_808	Length	1	738	forward	1
NZ_AP021898.1_484	Length	1	353	forward	1
NZ_AP022372.1_1933	Length	1	229	forward	1
NZ_AP022373.1_784	Length	1	229	forward	1
NZ_AP022593.1_434	Length	1	334	forward	1
NZ_AP022607.1_328	Length	1	163	forward	1
NZ_AP022839.1_2465	Length	1	553	forward	1
NZ_AP023000.1_524	Length	1	265	forward	1
NZ_AP023180.1_1970	Length	1	176	forward	1
NZ_AP023181.1_24	Length	1	224	forward	1
NZ_AP023367.1_1350	Length	1	382	forward	1
NZ_AP024100.1_502	Length	1	764	forward	1
NZ_AP024102.1_536	Length	1	764	forward	1
NZ_AP024103.1_1919	Length	1	292	forward	1
NZ_AP024107.1_1991	Length	1	292	forward	1
NZ_AP024108.1_572	Length	1	764	forward	1
NZ_AP024160.1_502	Length	1	764	forward	1
NZ_AP024162.1_476	Length	1	764	forward	1
NZ_AP024452.1_1784	Length	1	492	forward	1
NZ_AP024563.1_2470	Length	1	324	forward	1
NZ_AP024614.1_121	Length	1	602	forward	1
NZ_AP024618.1_2436	Length	1	168	forward	1
NZ_AP024882.1_517	Length	1	366	forward	1
NZ_AP025018.1_1528	Length	1	440	forward	1
NZ_AP025018.1_5065	Length	1	412	forward	1
NZ_AP025556.1_3219	Length	1	242	forward	1
NZ_AP025732.1_2627	Length	1	163	forward	1
NZ_AP026070.1_1766	Length	1	388	forward	1
NZ_AP026080.1_235	Length	1	197	forward	1
NZ_AP026114.1_235	Length	1	197	forward	1
NZ_APLP01000009.1_250	Length	1	344	forward	1
NZ_AUAP01000046.1_1	Length	1	252	forward	1
NZ_AUCE01000013.1_51	Length	1	154	forward	1
NZ_AUFT01000006.1_135	Length	1	176	forward	1
NZ_AUHA01000003.1_32	Length	1	217	forward	1
NZ_AUHO01000006.1_834	Length	1	225	forward	1
NZ_AULQ01000001.1_256	Length	1	170	forward	1
NZ_AUMT01000013.1_163	Length	1	177	forward	1
NZ_AWRU01000017.1_17	Length	1	165	forward	1
NZ_AWUH01000191.1_1	Length	1	694	forward	1
NZ_AXZO01000001.1_1178	Length	1	187	forward	1
NZ_BAND01000005.1_136	Length	1	173	forward	1
NZ_BBMA01000006.1_161	Length	1	233	forward	1
NZ_BBNO01000007.1_640	Length	1	255	forward	1
NZ_BBXC01000008.1_310	Length	1	462	forward	1
NZ_BBXE01000014.1_86	Length	1	462	forward	1
NZ_BBZG01000003.1_511	Length	1	450	forward	1
NZ_BCMN01000009.1_166	Length	1	246	forward	1
NZ_BDUD01000001.1_6002	Length	1	163	forward	1
NZ_BFBO01000013.1_38	Length	1	246	forward	1
NZ_BFBP01000014.1_68	Length	1	213	forward	1
NZ_BFHF01000017.1_35	Length	1	202	forward	1
NZ_BHFZ01000030.1_7	Length	1	223	forward	1
NZ_BHVU01000175.1_3	Length	1	458	forward	1
NZ_BMIB01000001.1_442	Length	1	394	forward	1
NZ_BMKP01000010.1_103	Length	1	172	forward	1
NZ_BMNC01000001.1_892	Length	1	249	forward	1
NZ_BMNL01000002.1_372	Length	1	282	forward	1
NZ_BMOL01000011.1_129	Length	1	219	forward	1
NZ_BMOM01000011.1_54	Length	1	205	forward	1
NZ_BMOW01000002.1_337	Length	1	192	forward	1
NZ_BMQU01000012.1_147	Length	1	174	forward	1
NZ_BMSS01000001.1_12	Length	1	255	forward	1
NZ_BMXF01000001.1_159	Length	1	493	forward	1
NZ_BNAG01000004.1_188	Length	1	162	forward	1
NZ_BNAG01000007.1_42	Length	1	496	forward	1
NZ_BNAL01000029.1_13	Length	1	184	forward	1
NZ_BORN01000001.1_410	Length	1	227	forward	1
NZ_BPMK01000021.1_42	Length	1	1063	forward	1
NZ_BPQA01000008.1_276	Length	1	419	forward	1
NZ_BQME02000002.1_1849	Length	1	239	forward	1
NZ_CAAAHR010000011.1_56	Length	1	392	forward	1
NZ_CAAAHR010000020.1_2	Length	1	557	forward	1
NZ_CAAAHT010000012.1_60	Length	1	381	forward	1
NZ_CAAAHU010000013.1_81	Length	1	560	forward	1
NZ_CAAAHV010000001.1_114	Length	1	662	forward	1
NZ_CAAAHV010000028.1_20	Length	1	352	forward	1
NZ_CAAAHV010000032.1_14	Length	1	746	forward	1
NZ_CAAAIE010000002.1_524	Length	1	392	forward	1
NZ_CAAAIK010000021.1_20	Length	1	348	forward	1
NZ_CAAAIX010000011.1_88	Length	1	564	forward	1
NZ_CABGRO010000006.1_62	Length	1	268	forward	1
NZ_CABGTP010000002.1_54	Length	1	268	forward	1
NZ_CABHAT010000006.1_97	Length	1	268	forward	1
NZ_CABVGU010000023.1_13	Length	1	172	forward	1
NZ_CABVHO010000008.1_25	Length	1	220	forward	1
NZ_CABVHS010000010.1_131	Length	1	172	forward	1
NZ_CACTIU010000041.1_5	Length	1	643	forward	1
NZ_CACTIU010000044.1_3	Length	1	682	forward	1
NZ_CACTIU010000097.1_2	Length	1	501	forward	1
NZ_CACTIU010000099.1_1	Length	1	636	forward	1
NZ_CACTIV010000002.1_3	Length	1	270	forward	1
NZ_CACTIV010000012.1_2	Length	1	947	forward	1
NZ_CACTIV010000015.1_14	Length	1	180	forward	1
NZ_CADDIL010000004.1_220	Length	1	242	forward	1
NZ_CADDZZ010000001.1_66	Length	1	237	forward	1
NZ_CADEQM010000018.1_42	Length	1	237	forward	1
NZ_CADESR010000001.1_1323	Length	1	237	forward	1
NZ_CADETP010000026.1_15	Length	1	237	forward	1
NZ_CADEUG010000026.1_12	Length	1	237	forward	1
NZ_CADFCV010000006.1_329	Length	1	237	forward	1
NZ_CADFCX010000005.1_329	Length	1	237	forward	1
NZ_CADFDM010000005.1_180	Length	1	193	forward	1
NZ_CADFDU010000006.1_362	Length	1	237	forward	1
NZ_CADFFA010000012.1_90	Length	1	256	forward	1
NZ_CADFFI010000016.1_68	Length	1	256	forward	1
NZ_CADFFM010000014.1_144	Length	1	224	forward	1
NZ_CADFFX010000001.1_410	Length	1	184	forward	1
NZ_CADFGH010000005.1_187	Length	1	176	forward	1
NZ_CADFGJ010000005.1_167	Length	1	211	forward	1
NZ_CADFGO010000001.1_527	Length	1	257	forward	1
NZ_CADP01000049.1_9	Length	1	183	forward	1
NZ_CAFK01000072.1_5	Length	1	268	forward	1
NZ_CAIGKF010000045.1_11	Length	1	226	forward	1
NZ_CAIGKG010000016.1_108	Length	1	249	forward	1
NZ_CAIJDE010000038.1_56	Length	1	237	forward	1
NZ_CAIJDP010000088.1_55	Length	1	172	forward	1
NZ_CAJCFV010000079.1_12	Length	1	159	forward	1
NZ_CAJGUX010000003.1_55	Length	1	208	forward	1
NZ_CAJGVB010000002.1_705	Length	1	208	forward	1
NZ_CAJHOB010000001.1_103	Length	1	158	forward	1
NZ_CAJHOG010000002.1_705	Length	1	208	forward	1
NZ_CAJHOH010000003.1_55	Length	1	208	forward	1
NZ_CAKJXY010000001.1_132	Length	1	191	forward	1
